time (milliseconds since 1970-01-01),electron_flux_e1 (e/(cm^2 s sr))
1.4483367E12,2226.570068359375
1.448337E12,2233.340087890625
1.4483373E12,2242.429931640625
1.4483376E12,2243.81005859375
1.4483379E12,2248.320068359375
1.4483382E12,2287.909912109375
1.4483385E12,2278.070068359375
1.4483388E12,2278.239990234375
1.4483391E12,2332.89990234375
1.4483394E12,2324.320068359375
1.4483397E12,2336.419921875
1.44834E12,2358.43994140625
1.4483403E12,2348.080078125
1.4483406E12,2361.75
1.4483409E12,2359.909912109375
1.4483412E12,2344.60009765625
1.4483415E12,2363.449951171875
1.4483418E12,2342.85009765625
1.4483421E12,2330.6298828125
1.4483424E12,2337.8798828125
1.4483427E12,2332.659912109375
1.448343E12,2320.77001953125
1.4483433E12,2320.360107421875
1.4483436E12,2318.9599609375
1.4483439E12,2331.25
1.4483442E12,2336.4599609375
1.4483445E12,2276.610107421875
1.4483448E12,2329.330078125
1.4483451E12,2344.3798828125
1.4483454E12,2346.43994140625
1.4483457E12,2363.300048828125
1.448346E12,2408.300048828125
1.4483463E12,2392.570068359375
1.4483466E12,2462.75
1.4483469E12,2471.06005859375
1.4483472E12,2499.830078125
1.4483475E12,2498.419921875
1.4483478E12,2514.93994140625
1.4483481E12,2563.639892578125
1.4483484E12,2589.4599609375
1.4483487E12,2609.260009765625
1.448349E12,2605.080078125
1.4483493E12,2611.56005859375
1.4483496E12,2684.52001953125
1.4483499E12,2655.570068359375
1.4483502E12,2674.1298828125
1.4483505E12,2722.889892578125
1.4483508E12,2677.510009765625
1.4483511E12,2641.110107421875
1.4483514E12,2693.320068359375
1.4483517E12,2684.2900390625
1.448352E12,2719.27001953125
1.4483523E12,2693.050048828125
1.4483526E12,2724.699951171875
1.4483529E12,2742.97998046875
1.4483532E12,2714.840087890625
1.4483535E12,2746.889892578125
1.4483538E12,2749.090087890625
1.4483541E12,2758.27001953125
1.4483544E12,2762.8798828125
1.4483547E12,2813.340087890625
1.448355E12,2853.10009765625
1.4483553E12,2805.3701171875
1.4483556E12,2865.52001953125
1.4483559E12,2872.1201171875
1.4483562E12,2906.409912109375
1.4483565E12,2908.969970703125
1.4483568E12,2933.679931640625
1.4483571E12,2963.199951171875
1.4483574E12,2958.919921875
1.4483577E12,3015.5
1.448358E12,3068.610107421875
1.4483583E12,3082.10009765625
1.4483586E12,3097.949951171875
1.4483589E12,3179.31005859375
1.4483592E12,3191.070068359375
1.4483595E12,3188.0400390625
1.4483598E12,3260.830078125
1.4483601E12,3252.89990234375
1.4483604E12,3286.510009765625
1.4483607E12,3392.219970703125
1.448361E12,3406.25
1.4483613E12,3415.110107421875
1.4483616E12,3413.030029296875
1.4483619E12,3408.1298828125
1.4483622E12,3454.25
1.4483625E12,3448.570068359375
1.4483628E12,3434.929931640625
1.4483631E12,3431.110107421875
1.4483634E12,3464.93994140625
1.4483637E12,3476.989990234375
1.448364E12,3525.800048828125
1.4483643E12,3561.1201171875
1.4483646E12,3581.0
1.4483649E12,3586.68994140625
1.4483652E12,3608.719970703125
1.4483655E12,3636.35009765625
1.4483658E12,3661.75
1.4483661E12,3739.110107421875
1.4483664E12,3754.830078125
1.4483667E12,3776.9599609375
1.448367E12,3864.35009765625
1.4483673E12,3914.43994140625
1.4483676E12,3919.3798828125
1.4483679E12,3905.75
1.4483682E12,3955.199951171875
1.4483685E12,4076.679931640625
1.4483688E12,4074.800048828125
1.4483691E12,4092.39990234375
1.4483694E12,4065.530029296875
1.4483697E12,3969.2099609375
1.44837E12,4015.800048828125
1.4483703E12,4031.0
1.4483706E12,4031.800048828125
1.4483709E12,4058.6298828125
1.4483712E12,4052.070068359375
1.4483715E12,4079.090087890625
1.4483718E12,4125.83984375
1.4483721E12,4126.31005859375
1.4483724E12,4149.31982421875
1.4483727E12,4166.14990234375
1.448373E12,4193.080078125
1.4483733E12,4188.66015625
1.4483736E12,4255.52978515625
1.4483739E12,4253.9599609375
1.4483742E12,4286.740234375
1.4483745E12,4368.5
1.4483748E12,4391.33984375
1.4483751E12,4430.91015625
1.4483754E12,4407.35009765625
1.4483757E12,4451.56982421875
1.448376E12,4419.240234375
1.4483763E12,4454.669921875
1.4483766E12,4464.009765625
1.4483769E12,4467.56005859375
1.4483772E12,4464.0
1.4483775E12,4457.419921875
1.4483778E12,4473.77978515625
1.4483781E12,4463.5400390625
1.4483784E12,4480.669921875
1.4483787E12,4454.08984375
1.448379E12,4434.14990234375
1.4483793E12,4436.5
1.4483796E12,4419.64990234375
1.4483799E12,4451.31005859375
1.4483802E12,4501.10009765625
1.4483805E12,4460.4599609375
1.4483808E12,4474.5
1.4483811E12,4466.85009765625
1.4483814E12,4453.580078125
1.4483817E12,4436.7001953125
1.448382E12,4387.18017578125
1.4483823E12,4349.89013671875
1.4483826E12,4332.6298828125
1.4483829E12,4359.77001953125
1.4483832E12,4336.2001953125
1.4483835E12,4263.39990234375
1.4483838E12,4268.22998046875
1.4483841E12,4276.509765625
1.4483844E12,4330.83984375
1.4483847E12,4325.7099609375
1.448385E12,4279.10986328125
1.4483853E12,4282.8701171875
1.4483856E12,4258.93994140625
1.4483859E12,4177.3798828125
1.4483862E12,4121.56982421875
1.4483865E12,4170.56005859375
1.4483868E12,4250.25
1.4483871E12,4280.2099609375
1.4483874E12,4247.81005859375
1.4483877E12,4142.64013671875
1.448388E12,4081.139892578125
1.4483883E12,4083.47998046875
1.4483886E12,4049.22998046875
1.4483889E12,4049.3798828125
1.4483892E12,4037.52001953125
1.4483895E12,4035.429931640625
1.4483898E12,4023.8701171875
1.4483901E12,4031.320068359375
1.4483904E12,4008.010009765625
1.4483907E12,3942.030029296875
1.448391E12,3900.81005859375
1.4483913E12,3910.179931640625
1.4483916E12,3903.199951171875
1.4483919E12,3877.989990234375
1.4483922E12,3873.419921875
1.4483925E12,3883.219970703125
1.4483928E12,3861.81005859375
1.4483931E12,3830.2900390625
1.4483934E12,3759.22998046875
1.4483937E12,3748.1201171875
1.448394E12,3734.6298828125
1.4483943E12,3748.1201171875
1.4483946E12,3743.5
1.4483949E12,3750.320068359375
1.4483952E12,3743.7099609375
1.4483955E12,3712.1201171875
1.4483958E12,3701.02001953125
1.4483961E12,3719.090087890625
1.4483964E12,3622.840087890625
1.4483967E12,3593.489990234375
1.448397E12,3583.820068359375
1.4483973E12,3565.77001953125
1.4483976E12,3547.64990234375
1.4483979E12,3522.409912109375
1.4483982E12,3486.139892578125
1.4483985E12,3479.449951171875
1.4483988E12,3455.719970703125
1.4483991E12,3431.27001953125
1.4483994E12,3415.22998046875
1.4483997E12,3373.889892578125
1.4484E12,3361.0400390625
1.4484003E12,3346.919921875
1.4484006E12,3285.39990234375
1.4484009E12,3255.89990234375
1.4484012E12,3250.830078125
1.4484015E12,3226.25
1.4484018E12,3178.070068359375
1.4484021E12,3167.580078125
1.4484024E12,3145.0400390625
1.4484027E12,3127.56005859375
1.448403E12,3112.5400390625
1.4484033E12,3073.56005859375
1.4484036E12,3052.889892578125
1.4484039E12,3013.909912109375
1.4484042E12,3025.489990234375
1.4484045E12,2986.4599609375
1.4484048E12,2985.219970703125
1.4484051E12,2960.780029296875
1.4484054E12,2936.360107421875
1.4484057E12,2923.070068359375
1.448406E12,2920.0400390625
1.4484063E12,2877.199951171875
1.4484066E12,2868.199951171875
1.4484069E12,2834.409912109375
1.4484072E12,2769.090087890625
1.4484075E12,2758.419921875
1.4484078E12,2757.969970703125
1.4484081E12,2741.469970703125
1.4484084E12,2728.97998046875
1.4484087E12,2739.1298828125
1.448409E12,2673.300048828125
1.4484093E12,2663.02001953125
1.4484096E12,2625.47998046875
1.4484099E12,2611.31005859375
1.4484102E12,2611.72998046875
1.4484105E12,2621.18994140625
1.4484108E12,2609.64990234375
1.4484111E12,2570.4599609375
